Type,Brand,Category,Fit,Size,Found,Size_type
Bottoms,Cavanni,Jeans,Skinny,,,Numeric
Bottoms,Money,Sweatpants,Slim,,,Categorical
Bottoms,Money,Sweatpants,Regular,,,Categorical
Bottoms,AMI,Jeans,Slim,,,Numeric
Bottoms,AMI,Chinos,Regular,,,Categorical
Bottoms,AMI,Chinos,Slim,,,Numeric
Bottoms,AMI,Chinos,Carrot,,,Numeric
Bottoms,Scotch & Soda,Chinos,Slim,,,Numeric
Bottoms,Scotch & Soda,Chinos,Super skinny,,,Numeric
Bottoms,Scotch & Soda,Chinos,Regular,,,Numeric
Bottoms,Scotch & Soda,Chinos,Skinny,,,Numeric
Bottoms,Scotch & Soda,Shorts,Slim,,,Numeric
Bottoms,Scotch & Soda,Shorts,Comfort,,,Numeric
Bottoms,Scotch & Soda,Shorts,Regular,,,Numeric
Bottoms,Scotch & Soda,Jeans,Slim,,,Numeric
Bottoms,Scotch & Soda,Jeans,Regular,,,Numeric
Bottoms,Scotch & Soda,Jeans,Skinny,,,Numeric
Bottoms,Scotch & Soda,Jeans,None,,,Numeric
Bottoms,Scotch & Soda,Formal Trousers,Slim,,,Numeric
Bottoms,Scotch & Soda,Swim,Regular,,,Categorical
Bottoms,Dedicated,Shorts,None,,,Numeric
Bottoms,Dedicated,Chinos,None,,,Numeric
Bottoms,Dedicated,Chinos,Regular,,,Numeric
Bottoms,Dedicated,Sweatpants,Regular,,,Categorical
Bottoms,Kairen,Swim,Slim,,,Categorical
Bottoms,Kairen,Swim,None,,,Categorical
Bottoms,Tommy Hilfiger,Chinos,Straight,,,Numeric
Bottoms,Tommy Hilfiger,Chinos,None,,,Numeric
Bottoms,Tommy Hilfiger,Chinos,Regular,,,Numeric
Bottoms,Tommy Hilfiger,Chinos,Slim,,,Numeric
Bottoms,Tommy Hilfiger,Chinos,Skinny,,,Numeric
Bottoms,Tommy Hilfiger,Jeans,Slim,,,Numeric
Bottoms,Tommy Hilfiger,Jeans,Straight,,,Numeric
Bottoms,Tommy Hilfiger,Jeans,Skinny,,,Numeric
Bottoms,Tommy Hilfiger,Jeans,Regular,,,Numeric
Bottoms,Tommy Hilfiger,Shorts,Straight,,,Numeric
Bottoms,Tommy Hilfiger,Shorts,Comfort,,,Numeric
Bottoms,Tommy Hilfiger,Shorts,Regular,,,Numeric
Bottoms,Tommy Hilfiger,Shorts,Slim,,,Numeric
Bottoms,Tommy Hilfiger,Sweatpants,Slim,,,Numeric
Bottoms,Tommy Hilfiger,Casual Trousers,Straight,,,Numeric
Bottoms,Tommy Hilfiger,Swim,Regular,,,Categorical
Bottoms,Tommy Hilfiger,Formal Trousers,Straight,,,Numeric
Bottoms,Strarwish,Swim,Slim,,,Numeric
Bottoms,Strarwish,Swim,Regular,,,Numeric
Bottoms,Damat,Chinos,Slim,,,Numeric
Bottoms,Damat,Formal Trousers,Slim,,,Numeric
Bottoms,Damat,Swim,Slim,,,Categorical
Bottoms,Damat,Swim,Regular,,,Categorical
Bottoms,Ayah,Swim,Slim,,,Categorical
Bottoms,Intense,Sweatpants,None,,,Categorical
Bottoms,Mocha Salt,Shorts,Regular,,,Numeric
Bottoms,Mocha Salt,Swim,Regular,,,Numeric
Bottoms,West LA,Shorts,Slim,,,Numeric
Bottoms,West LA,Chinos,Slim,,,Numeric
Bottoms,West LA,Swim,Slim,,,Numeric
Bottoms,West LA,Jeans,Slim,,,Numeric
Bottoms,Fred Perry,Chinos,Slim,,,Numeric
Bottoms,Van Gils,Formal Trousers,Slim,,,Numeric
Bottoms,Van Gils,Jeans,Slim,,,Numeric
Bottoms,Diesel,Jeans,Slim,,,Numeric
Bottoms,Diesel,Jeans,Regular,,,Numeric
Bottoms,Diesel,Jeans,Carrot,,,Numeric
Bottoms,Diesel,Jeans,Skinny,,,Numeric
Bottoms,Diesel,Jeans,Super skinny,,,Numeric
Bottoms,Diesel,Jeans,Straight,,,Numeric
Bottoms,Diesel,Chinos,Slim,,,Numeric
Bottoms,Diesel,Pants,Slim,,,Numeric
Bottoms,Diesel,Swim,Regular,,,Categorical
Bottoms,EDEN PARK,Casual Trousers,Regular,,,Categorical
Bottoms,EDEN PARK,Chinos,Slim,,,Numeric
Bottoms,Sacoor,Chinos,Slim,,,Numeric
Bottoms,Lacoste,Shorts,Regular,,,Numeric
Bottoms,Lacoste,Jeans,Slim,,,Numeric
Bottoms,Lacoste,Swim,Regular,,,Categorical
Bottoms,Lacoste,Chinos,Slim,,,Numeric
