,user_id,user_weight,user_height,user_shirts_fit,user_pants_fit,user_waist_size,user_shirt_size,user_blazer_size,type,brand,category,fit,purchased,reason,size
37720,1806,82.0,181.0,Slim Fit,Slim Fit,34,L,50,Tops,Scotch & Soda,T-Shirt,Regular,yes,,L
37721,15150,72.0,178.0,Slim Fit,Regular Fit,33,M,No idea,Tops,Dedicated,T-Shirt,Regular,yes,,L
37722,39648,72.0,150.0,Regular Fit,Slim Fit,32,L,No idea,Bottoms,Hackett,Shorts,Slim,no,TOO SMALL,32
37723,2580,65.0,160.0,,,,XL,50,Tops,AMI,Polos,Regular,no,TOO SMALL,S
37724,41392,83.0,173.0,Regular Fit,Regular Fit,32,M,No idea,Tops,Hackett,Blazer,Slim,yes,,40
37725,41392,83.0,173.0,Regular Fit,Regular Fit,32,M,No idea,Tops,Sacoor,Casual Shirts,Regular,no,TOO SMALL,40
37726,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Bottoms,AMI,Chinos,Regular,no,TOO SMALL,XXL
37727,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Shoes,Claudio Sartore,Loafers,None,no,TOO SMALL,45
37728,28069,75.0,174.0,Slim Fit,Slim Fit,34,M,No idea,Bottoms,Scotch & Soda,Chinos,Slim,no,TOO BIG,34/32
37729,14791,77.0,177.0,Slim Fit,Regular Fit,34,L,No idea,Bottoms,Hackett,Chinos,Regular,yes,,34
37730,19213,88.0,188.0,Slim Fit,Slim Fit,33,L,No idea,Bottoms,Campione,Jeans,None,yes,,33/34
37731,19213,88.0,188.0,Slim Fit,Slim Fit,33,L,No idea,Tops,Scotch & Soda,T-Shirt,Regular,yes,,L
37732,41514,78.0,168.0,Slim Fit,Slim Fit,33,M,48,Tops,Claudio Sartore,Blazer,Slim,yes,,48
37733,41514,78.0,168.0,Slim Fit,Slim Fit,33,M,48,Tops,Scotch & Soda,Casual Shirts,Regular,yes,,M
37734,41514,78.0,168.0,Slim Fit,Slim Fit,33,M,48,Tops,Sacoor,Formal Shirts,Slim,yes,,39
37735,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Accessories,Happy Socks,Socks,None,yes,,U
37736,41489,85.0,183.0,Slim Fit,Slim Fit,No Idea,M,52,Tops,Ralph Lauren,Casual Shirts,Slim,yes,,M
37737,41489,85.0,183.0,Slim Fit,Slim Fit,No Idea,M,52,Tops,Scotch & Soda,Polos,Regular,yes,,M
37738,41489,85.0,183.0,Slim Fit,Slim Fit,No Idea,M,52,Bottoms,Cavanni,Jeans,Skinny,yes,,34/32
37739,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Tops,Scott Blue,Polos,Slim,yes,,L
37740,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Accessories,Claudio Sartore,Belt,None,yes,,L
37741,41514,78.0,168.0,Slim Fit,Slim Fit,33,M,48,Bottoms,Ralph Lauren,Chinos,Slim,no,TOO BIG,34/32
37742,19213,88.0,188.0,Slim Fit,Slim Fit,33,L,No idea,Tops,Scotch & Soda,Casual Shirts,Regular,yes,,L
37743,41514,78.0,168.0,Slim Fit,Slim Fit,33,M,48,Shoes,Sacoor,Loafers,None,yes,,42
37744,41307,85.0,171.0,Regular Fit,Slim Fit,36,L,54,Tops,Ralph Lauren,Formal Shirts,Regular,yes,,16
37745,18814,97.0,188.0,Slim Fit,Regular Fit,35,XL,No idea,Shoes,Sacoor,Loafers,None,no,TOO SMALL,45
37746,6148,95.0,173.0,Regular Fit,Slim Fit,39,XL,58,Tops,Sacoor,Casual Shirts,None,no,TOO SMALL,XL
37747,1499,76.0,181.0,Slim Fit,Slim Fit,34,M,44,Tops,Ralph Lauren,Casual Shirts,Slim,no,TOO SMALL,S
